Date,Open,High,Low,Close,Adj Close,Volume
2009-08-24,28.170000,28.540001,27.200001,27.320000,21.202085,51642300
2009-08-25,27.570000,28.070000,27.299999,27.330000,21.209850,42789000
2009-08-26,27.139999,27.719999,27.020000,27.620001,21.434904,43310800
2009-08-27,27.549999,27.850000,27.360001,27.740000,21.528038,35292800
2009-08-28,28.010000,28.010000,27.209999,27.299999,21.186569,35405800
2009-08-31,26.969999,27.600000,26.770000,27.520000,21.357300,35614100
2009-09-01,27.340000,27.770000,25.809999,26.209999,20.340651,87353300
2009-09-02,26.100000,26.700001,25.889999,26.090000,20.247528,53902400
2009-09-03,26.330000,26.920000,26.309999,26.910000,20.883902,39465400
2009-09-04,26.879999,26.980000,26.559999,26.910000,20.883902,31552900
2009-09-08,27.209999,27.290001,26.600000,26.980000,20.938225,31736000
2009-09-09,27.030001,27.750000,26.980000,27.680000,21.481474,47483700
2009-09-10,27.500000,27.950001,27.299999,27.860001,21.621159,40938900
2009-09-11,27.820000,28.090000,27.370001,27.430000,21.287451,33802300
2009-09-14,27.170000,27.990000,27.100000,27.920000,21.667728,32056200
2009-09-15,27.930000,28.889999,27.790001,28.580000,22.179926,50756800
2009-09-16,28.770000,29.559999,28.370001,29.410000,22.824064,49675000
2009-09-17,29.240000,29.440001,28.549999,28.780001,22.335154,36872000
2009-09-18,29.080000,29.080000,28.230000,28.490000,22.110085,42749200
2009-09-21,28.389999,28.690001,28.150000,28.290001,21.954874,34390700
2009-09-22,28.629999,29.540001,28.320000,29.389999,22.808538,45230300
2009-09-23,29.330000,29.410000,28.709999,28.760000,22.319616,38182200
2009-09-24,28.900000,29.190001,27.920000,28.450001,22.079041,46650900
2009-09-25,28.270000,28.440001,27.790001,28.190001,21.877270,34479100
2009-09-28,28.309999,28.900000,28.010000,28.900000,22.428268,31319700
2009-09-29,28.700001,28.969999,28.299999,28.350000,22.001434,29705900
2009-09-30,28.430000,28.680000,27.889999,28.180000,21.869503,39190600
2009-10-01,28.059999,28.059999,26.530001,26.600000,20.643320,56454900
2009-10-02,26.040001,26.690001,25.990000,26.280001,20.394981,52060900
2009-10-05,27.440001,28.299999,27.340000,28.090000,21.799656,56118100
2009-10-06,28.340000,29.049999,28.309999,28.660000,22.242018,59068600
2009-10-07,28.490000,29.299999,28.360001,29.260000,22.707657,41824100
2009-10-08,29.160000,29.430000,28.910000,29.049999,22.544680,45338900
2009-10-09,29.010000,29.330000,28.860001,29.209999,22.668846,29218700
2009-10-12,29.500000,30.540001,29.110001,30.280001,23.499239,52504500
2009-10-13,29.980000,30.340000,29.620001,30.059999,23.328503,38648600
2009-10-14,30.700001,31.430000,30.389999,31.340000,24.321871,62894600
2009-10-15,31.000000,31.530001,30.920000,31.379999,24.352915,39072700
2009-10-16,30.580000,30.629999,29.830000,30.020000,23.297462,57472400
2009-10-19,30.350000,30.420000,29.770000,30.070000,23.336264,32327500
2009-10-20,29.980000,30.639999,29.850000,30.459999,23.638931,41722700
2009-10-21,30.100000,31.120001,28.840000,28.900000,22.428268,113718800
2009-10-22,28.790001,30.280001,28.610001,30.170000,23.413870,74918700
2009-10-23,30.180000,30.180000,29.049999,29.320000,22.754211,49377700
2009-10-26,29.309999,29.330000,28.270000,28.450001,22.079041,55207900
2009-10-27,28.410000,28.709999,28.040001,28.389999,22.032478,49819400
2009-10-28,28.230000,28.270000,27.400000,27.459999,21.310734,57274600
2009-10-29,27.980000,28.620001,27.690001,28.570000,22.172169,47894800
2009-10-30,28.340000,28.500000,27.350000,27.520000,21.357300,66430300
2009-11-02,27.860001,28.240000,26.740000,27.610001,21.427147,55576000
2009-11-03,27.120001,28.040001,27.010000,27.740000,21.528038,37878400
2009-11-04,28.020000,28.120001,26.719999,26.820000,20.851641,46075800
2009-11-05,27.020000,27.330000,26.500000,27.290001,21.217047,53391400
2009-11-06,26.719999,27.330000,26.580000,27.120001,21.084877,37610100
2009-11-09,27.500000,28.400000,27.120001,28.400000,22.080030,44419900
2009-11-10,28.250000,28.450001,27.930000,28.100000,21.846794,35216700
2009-11-11,28.370001,29.129999,28.250000,28.799999,22.391022,40085800
2009-11-12,28.780001,28.900000,28.110001,28.219999,21.940096,34730700
2009-11-13,28.070000,28.150000,27.370001,27.680000,21.520262,36576600
2009-11-16,27.920000,28.680000,27.780001,28.209999,21.932318,45256000
2009-11-17,28.190001,28.490000,27.980000,28.370001,22.056715,29199400
2009-11-18,28.290001,28.930000,28.270000,28.860001,22.437674,27288800
2009-11-19,28.590000,28.629999,28.139999,28.320000,22.017839,30848000
2009-11-20,28.209999,28.280001,27.660000,27.870001,21.667978,41877900
2009-11-23,28.219999,28.350000,27.879999,28.070000,21.823463,32738800
2009-11-24,27.889999,28.070000,27.480000,27.860001,21.660204,29019100
2009-11-25,28.010000,28.129999,27.650000,27.830000,21.636885,22882000
2009-11-27,26.959999,27.590000,26.900000,27.139999,21.100426,23176800
2009-11-30,27.280001,28.100000,27.250000,28.040001,21.800142,36739300
2009-12-01,28.150000,28.389999,27.850000,27.990000,21.761274,33169200
2009-12-02,27.879999,27.980000,27.280001,27.450001,21.341446,35368000
2009-12-03,27.520000,27.910000,26.410000,26.490000,20.595074,66620600
2009-12-04,27.020000,27.430000,26.559999,26.959999,20.960484,63916000
2009-12-07,27.070000,27.309999,26.180000,26.360001,20.494005,35764600
2009-12-08,25.990000,26.459999,25.910000,26.030001,20.237442,42682400
2009-12-09,26.150000,26.350000,25.820000,25.959999,20.183020,35697000
2009-12-10,26.180000,26.260000,25.250000,25.320000,19.685442,62139500
2009-12-11,25.090000,25.650000,25.010000,25.410000,19.755407,48496300
2009-12-14,25.400000,25.910000,25.090000,25.490000,19.817606,43877900
2009-12-15,26.020000,26.320000,25.000000,25.660000,19.949776,254575800
2009-12-16,26.090000,26.209999,25.559999,25.840000,20.089729,87439800
2009-12-17,25.639999,26.180000,25.620001,26.070000,20.268538,80733500
2009-12-18,26.379999,27.000000,26.180000,26.780001,20.820543,145756600
2009-12-21,26.990000,27.490000,26.850000,27.340000,21.255919,47240800
2009-12-22,27.260000,27.299999,26.670000,27.160000,21.115976,45699700
2009-12-23,27.270000,27.280001,26.719999,26.850000,20.874964,25516800
2009-12-24,26.959999,27.139999,26.870001,27.090000,21.061552,10481200
2009-12-28,27.080000,27.200001,26.540001,26.750000,20.797220,19753100
2009-12-29,26.719999,26.879999,26.549999,26.680000,20.742800,18586500
2009-12-30,26.500000,26.820000,26.440001,26.820000,20.851641,19087700
2009-12-31,26.740000,27.240000,26.690001,26.990000,20.983810,28942400
2010-01-04,27.020000,27.480000,26.820000,27.320000,21.240372,39335700
2010-01-05,27.270000,28.240000,27.240000,28.070000,21.823463,55416000
2010-01-06,28.030001,28.330000,27.790001,28.110001,21.854568,33237000
2010-01-07,28.120001,29.430000,27.920000,29.129999,22.647591,61649000
2010-01-08,28.900000,29.350000,28.600000,28.860001,22.437674,35508700
2010-01-11,29.090000,29.170000,28.580000,28.799999,22.391022,24387800
2010-01-12,28.469999,28.549999,27.500000,28.080000,21.831251,39795000
2010-01-13,27.990000,28.760000,27.799999,28.580000,22.219978,36715300
2010-01-14,28.500000,29.209999,28.500000,28.990000,22.538742,31540700
2010-01-15,28.820000,28.900000,27.879999,28.080000,21.831251,47255900
2010-01-19,27.930000,28.469999,27.610001,28.280001,21.986750,40815800
2010-01-20,28.020000,28.650000,27.700001,27.820000,21.629105,75712300
2010-01-21,27.980000,28.500000,27.180000,28.000000,21.769045,90151500
2010-01-22,27.969999,28.410000,27.170000,27.260000,21.193724,69506900
2010-01-25,27.450001,28.049999,27.190001,27.660000,21.504717,48319700
2010-01-26,27.450001,28.350000,26.920000,26.990000,20.983810,66590800
2010-01-27,26.900000,28.240000,26.879999,28.200001,21.924545,63074200
2010-01-28,28.280001,28.770000,27.719999,28.450001,22.118908,62109300
2010-01-29,28.440001,29.170000,28.379999,28.430000,22.103363,88783700
2010-02-01,28.600000,29.090000,28.510000,28.930000,22.492092,45240000
2010-02-02,28.959999,29.129999,28.510000,28.790001,22.383244,50306600
2010-02-03,28.570000,28.780001,27.980000,28.139999,21.915958,44597600
2010-02-04,27.950001,28.080000,27.000000,27.059999,21.074827,68235300
2010-02-05,27.299999,27.709999,26.620001,27.420000,21.355211,68479000
2010-02-08,27.230000,27.410000,26.400000,26.430000,20.584177,43425800
2010-02-09,26.889999,27.139999,26.370001,26.709999,20.802237,46845300
2010-02-10,26.610001,27.559999,26.549999,27.180000,21.168295,42104800
2010-02-11,27.150000,27.240000,26.709999,27.080000,21.090405,35821600
2010-02-12,26.790001,27.040001,26.469999,26.879999,20.934650,45333600
2010-02-16,27.190001,27.389999,26.940001,27.389999,21.331842,36097500
2010-02-17,27.590000,27.639999,27.090000,27.330000,21.285110,50109700
2010-02-18,27.299999,27.570000,27.160000,27.340000,21.292902,30287900
2010-02-19,27.080000,27.480000,27.070000,27.370001,21.316267,32174300
2010-02-22,27.480000,28.150000,27.379999,28.010000,21.814714,41852200
2010-02-23,27.950001,28.000000,27.180000,27.290001,21.253958,38755100
2010-02-24,27.450001,27.770000,27.180000,27.660000,21.542128,35782300
2010-02-25,27.170000,27.480000,27.040001,27.440001,21.370785,34185600
2010-02-26,27.490000,27.500000,26.930000,27.340000,21.292902,50819700
2010-03-01,27.450001,27.590000,27.150000,27.350000,21.300686,34311000
2010-03-02,27.400000,28.209999,27.370001,27.870001,21.705679,45592200
2010-03-03,27.950001,28.450001,27.940001,28.200001,21.962683,35902200
2010-03-04,28.350000,28.570000,28.209999,28.430000,22.141813,30891500
2010-03-05,28.629999,29.270000,28.549999,29.150000,22.702564,40554100
2010-03-08,29.129999,29.350000,28.820000,28.889999,22.500074,31311900
2010-03-09,28.780001,29.219999,28.469999,28.980000,22.570169,31292400
2010-03-10,29.129999,29.830000,29.100000,29.570000,23.029665,42568300
2010-03-11,29.530001,29.760000,29.240000,29.760000,23.177639,32127400
2010-03-12,29.830000,29.940001,29.490000,29.629999,23.076395,36671500
2010-03-15,29.480000,29.889999,29.260000,29.889999,23.278889,26911900
2010-03-16,29.930000,30.320000,29.740000,30.280001,23.582628,40201400
2010-03-17,30.410000,30.670000,30.260000,30.549999,23.792908,33176200
2010-03-18,30.469999,30.559999,29.850000,30.290001,23.590414,33984900
2010-03-19,30.379999,30.540001,29.959999,30.379999,23.660509,53781800
2010-03-22,30.090000,30.590000,30.049999,30.410000,23.683876,28594000
2010-03-23,30.469999,31.120001,30.379999,31.080000,24.205687,39320200
2010-03-24,30.840000,31.280001,30.670000,30.860001,24.034348,36135600
2010-03-25,31.030001,31.990000,30.900000,31.059999,24.190107,47424300
2010-03-26,31.209999,31.770000,31.000000,31.219999,24.314709,36079700
2010-03-29,31.350000,31.450001,30.900000,31.100000,24.221264,25280200
2010-03-30,31.100000,31.299999,30.799999,30.840000,24.018768,26937900
2010-03-31,30.580000,31.160000,30.580000,31.120001,24.236834,28384000
2010-04-01,31.400000,31.600000,31.129999,31.370001,24.431540,33041400
2010-04-05,31.490000,31.750000,31.260000,31.510000,24.540575,30821900
2010-04-06,31.360001,32.389999,31.350000,32.279999,25.140268,39500100
2010-04-07,32.279999,32.490002,31.770000,31.990000,24.914408,34514700
2010-04-08,31.790001,32.410000,31.559999,32.230000,25.101322,32203600
2010-04-09,32.400002,32.650002,31.920000,32.299999,25.155838,27106200
2010-04-12,32.400002,32.700001,32.270000,32.419998,25.249300,25108400
2010-04-13,32.160000,32.240002,31.730000,32.150002,25.039026,38042000
2010-04-14,32.459999,33.419998,32.349998,33.279999,25.919081,54445900
2010-04-15,33.230000,33.889999,33.119999,33.509998,26.098207,47891800
2010-04-16,33.209999,33.250000,31.660000,32.560001,25.358337,89843800
2010-04-19,32.619999,33.259998,32.130001,33.020000,25.716591,54879400
2010-04-20,33.189999,33.889999,33.000000,33.689999,26.238400,46816100
2010-04-21,32.590000,34.250000,32.509998,33.009998,25.708803,96214600
2010-04-22,32.700001,33.720001,32.560001,33.580002,26.152737,49765400
2010-04-23,33.700001,33.790001,33.200001,33.480000,26.074854,30999200
2010-04-26,33.360001,33.450001,32.590000,32.720001,25.482948,36186000
2010-04-27,32.200001,33.070000,31.650000,31.719999,24.704123,52674300
2010-04-28,32.070000,32.650002,31.969999,32.450001,25.272665,39027300
2010-04-29,32.790001,33.400002,32.730000,33.230000,25.880142,31021400
2010-04-30,33.250000,33.820000,32.980000,33.110001,25.786682,53446100
2010-05-03,33.220001,34.090000,33.209999,33.880001,26.386374,37442300
2010-05-04,33.410000,33.970001,32.720001,32.939999,25.654280,53828300
2010-05-05,32.630001,33.180000,31.719999,32.660000,25.474878,45183200
2010-05-06,32.439999,32.750000,29.309999,31.180000,24.320482,78743100
2010-05-07,30.879999,31.750000,30.200001,30.820000,24.039675,66958000
2010-05-10,32.250000,33.080002,32.160000,32.970001,25.716684,67195800
2010-05-11,32.509998,33.669998,32.419998,32.910000,25.669891,47883200
2010-05-12,33.180000,33.810001,33.060001,33.660000,26.254889,39616100
2010-05-13,33.500000,33.830002,33.080002,33.080002,25.802488,33791100
2010-05-14,32.759998,32.880001,31.760000,32.040001,24.991283,57390600
2010-05-17,32.080002,32.240002,31.139999,31.969999,24.936678,47043700
2010-05-18,32.279999,32.349998,30.350000,30.590000,23.860275,56666700
2010-05-19,29.950001,30.280001,29.090000,30.080000,23.462477,72538500
2010-05-20,29.440001,30.000000,28.650000,28.690001,22.378271,78027500
2010-05-21,28.049999,30.299999,28.049999,30.110001,23.485882,88191700
2010-05-24,29.570000,29.750000,28.530001,28.709999,22.393875,64867000
2010-05-25,27.709999,28.910000,27.440001,28.900000,22.542074,55196200
2010-05-26,29.230000,29.340000,27.700001,28.040001,21.871275,62366800
2010-05-27,28.709999,29.480000,28.500000,29.410000,22.939878,48871900
2010-05-28,29.469999,29.500000,28.540001,28.690001,22.378271,40885500
2010-06-01,28.680000,29.200001,28.190001,28.230000,22.019474,39475500
2010-06-02,28.559999,29.200001,28.320000,29.180000,22.760475,32478900
2010-06-03,29.360001,29.480000,28.520000,28.860001,22.510878,30888500
2010-06-04,28.280001,28.450001,27.650000,27.780001,21.668476,50696800
2010-06-07,28.010000,28.110001,27.260000,27.290001,21.286268,36969800
2010-06-08,27.459999,27.809999,26.660000,27.760000,21.652868,47134900
2010-06-09,27.950001,27.959999,26.900000,27.030001,21.083473,37988200
2010-06-10,27.520000,28.240000,27.400000,28.129999,21.941467,41612900
2010-06-11,27.740000,27.950001,27.350000,27.840000,21.715275,39468100
2010-06-14,27.799999,27.969999,27.309999,27.400000,21.372072,45506200
2010-06-15,27.590000,27.930000,27.500000,27.910000,21.769871,45128400
2010-06-16,27.750000,28.250000,27.670000,28.120001,21.933674,28707100
2010-06-17,28.100000,28.190001,27.530001,27.930000,21.785469,30739400
2010-06-18,28.040001,28.230000,27.740000,28.070000,21.894669,39496700
2010-06-21,28.440001,28.500000,27.790001,27.940001,21.793274,30005400
2010-06-22,28.030001,28.330000,27.430000,27.459999,21.418873,33694800
2010-06-23,27.379999,27.760000,27.150000,27.320000,21.309666,36030500
2010-06-24,27.049999,27.100000,26.280001,26.860001,20.950867,66950600
2010-06-25,27.150000,27.610001,26.850000,27.049999,21.099066,78977700
2010-06-28,27.240000,27.340000,26.820000,27.030001,21.083473,31717000
2010-06-29,26.570000,26.660000,25.790001,25.930000,20.225468,55568200
2010-06-30,26.049999,26.450001,25.520000,25.600000,19.968067,37501000
2010-07-01,25.540001,25.940001,24.600000,25.180000,19.640463,58947800
2010-07-02,25.400000,25.680000,24.760000,24.879999,19.406464,32231100
2010-07-06,25.459999,25.639999,24.790001,25.150000,19.617075,37248300
2010-07-07,25.280001,26.730000,25.139999,26.660000,20.794868,48830500
2010-07-08,27.059999,27.059999,26.100000,26.639999,20.779270,38228800
2010-07-09,26.500000,27.040001,26.400000,27.000000,21.060072,24905000
2010-07-12,26.930000,27.129999,26.559999,27.059999,21.106869,18761700
2010-07-13,27.370001,28.080000,27.320000,27.940001,21.793274,31658500
2010-07-14,27.700001,27.780001,27.250000,27.660000,21.574875,31305800
2010-07-15,27.850000,28.160000,27.020000,27.809999,21.691870,48127100
2010-07-16,27.440001,27.469999,26.160000,26.240000,20.467266,55456400
2010-07-19,26.270000,26.400000,25.620001,26.020000,20.295668,34667100
2010-07-20,25.469999,25.920000,25.299999,25.910000,20.209862,47672300
2010-07-21,27.530001,27.600000,25.969999,26.059999,20.326864,70914600
2010-07-22,26.620001,27.490000,26.549999,27.389999,21.364269,53000300
2010-07-23,27.330000,27.549999,27.000000,27.420000,21.387671,25737000
2010-07-26,27.450001,27.920000,27.230000,27.910000,21.769871,22724200
2010-07-27,28.410000,28.770000,28.240000,28.389999,22.144278,38411500
2010-07-28,28.250000,28.540001,27.920000,28.070000,21.894669,23935100
2010-07-29,28.320000,28.490000,27.480000,27.690001,21.598272,30045500
2010-07-30,27.270000,27.990000,27.250000,27.730000,21.629475,27490900
2010-08-02,28.290001,28.580000,27.950001,28.570000,22.284674,28005100
2010-08-03,28.450001,28.490000,27.940001,28.120001,21.933674,29544200
2010-08-04,28.170000,28.250000,27.700001,27.930000,21.824274,28936700
2010-08-05,27.709999,27.959999,27.559999,27.879999,21.785210,21881200
2010-08-06,27.490000,27.770000,27.240000,27.750000,21.683622,38637900
2010-08-09,27.900000,28.270000,27.520000,28.230000,22.058695,29199300
2010-08-10,27.940001,28.070000,27.510000,27.770000,21.699253,29837400
2010-08-11,27.260000,27.389999,26.260000,26.299999,20.550610,39624100
2010-08-12,26.000000,26.389999,25.870001,26.000000,20.316187,31944800
2010-08-13,25.990000,26.299999,25.809999,25.840000,20.191168,25494200
2010-08-16,25.670000,25.910000,25.520000,25.680000,20.066145,24593600
2010-08-17,25.959999,26.010000,25.209999,25.340000,19.800474,49481000
2010-08-18,25.299999,25.670000,25.090000,25.379999,19.831724,38076300
2010-08-19,25.100000,25.360001,24.270000,24.430000,19.089409,51516800
2010-08-20,24.430000,24.709999,24.270000,24.600000,19.222244,40025600
2010-08-23,24.860001,24.879999,24.190001,24.230000,18.933125,33766900
2010-08-24,23.959999,24.049999,23.540001,23.639999,18.472101,55658300
2010-08-25,23.410000,23.650000,23.020000,23.600000,18.440847,55554200
2010-08-26,23.730000,24.100000,23.400000,23.490000,18.354897,41212900
2010-08-27,23.639999,24.000000,23.469999,24.000000,18.753407,45099500
2010-08-30,23.930000,23.980000,23.230000,23.250000,18.167358,37964800
2010-08-31,23.180000,23.680000,23.030001,23.549999,18.401779,35713300
2010-09-01,23.910000,24.750000,23.760000,24.660000,19.269127,53882000
2010-09-02,24.680000,25.110001,24.620001,25.100000,19.612938,38196400
2010-09-03,25.750000,26.129999,25.590000,25.840000,20.191168,42741400
2010-09-07,25.570000,25.680000,24.910000,24.920000,19.472286,30986700
2010-09-08,25.030001,25.400000,25.030001,25.219999,19.706707,22687800
2010-09-09,25.709999,26.010000,25.219999,25.690001,20.073957,28728700
2010-09-10,25.830000,25.969999,25.670000,25.750000,20.120844,19893500
2010-09-13,26.370001,26.790001,26.250000,26.500000,20.706886,39588200
2010-09-14,26.299999,26.330000,25.889999,26.059999,20.363075,29814000
2010-09-15,25.719999,26.440001,25.610001,26.340000,20.581858,32614200
2010-09-16,26.160000,26.280001,25.900000,26.059999,20.363075,28999400
2010-09-17,26.370001,26.370001,25.870001,26.010000,20.324005,34400600
2010-09-20,26.090000,26.650000,25.920000,26.559999,20.753771,30529000
2010-09-21,26.629999,26.959999,26.290001,26.379999,20.613117,32217500
2010-09-22,26.370001,26.480000,25.719999,25.809999,20.167725,32251200
2010-09-23,25.299999,25.670000,25.040001,25.040001,19.566053,59315100
2010-09-24,25.459999,25.730000,25.330000,25.590000,19.995821,46480600
2010-09-27,25.719999,25.920000,25.490000,25.530001,19.948933,28381000
2010-09-28,25.580000,25.870001,25.110001,25.350000,19.808287,38697900
2010-09-29,25.209999,25.370001,24.910000,25.040001,19.566053,37676000
2010-09-30,25.240000,25.629999,25.020000,25.120001,19.628565,37365700
2010-10-01,25.299999,25.690001,25.120001,25.559999,19.972382,32117900
2010-10-04,25.510000,25.790001,25.219999,25.379999,19.831724,25645400
2010-10-05,25.670000,26.350000,25.400000,26.250000,20.511543,42788700
2010-10-06,26.219999,26.490000,26.129999,26.299999,20.550610,31852900
2010-10-07,26.469999,26.580000,25.840000,26.000000,20.316187,27293900
2010-10-08,26.190001,26.250000,25.719999,25.950001,20.277124,29467900
2010-10-11,25.959999,26.100000,25.459999,25.650000,20.042700,24637400
2010-10-12,25.440001,26.040001,25.299999,25.980000,20.300564,37344700
2010-10-13,26.230000,26.340000,25.629999,25.809999,20.167725,41846800
2010-10-14,25.450001,25.490000,24.200001,24.719999,19.316008,117397100
2010-10-15,25.000000,25.000000,23.370001,23.580000,18.425220,144985700
2010-10-18,23.690001,24.879999,23.639999,24.870001,19.433216,66672500
2010-10-19,24.670000,25.320000,24.389999,24.549999,19.183170,72213100
2010-10-20,24.270000,25.969999,24.170000,25.600000,20.003637,101499400
2010-10-21,25.770000,26.410000,23.870001,26.030001,20.339630,52489800
2010-10-22,26.030001,26.250000,25.750000,26.110001,20.402142,26633200
2010-10-25,26.370001,26.420000,25.520000,25.719999,20.097399,36779700
2010-10-26,25.600000,25.990000,25.480000,25.910000,20.245867,30595600
2010-10-27,25.690001,26.000000,25.600000,25.750000,20.120844,35352000
2010-10-28,25.840000,25.959999,25.610001,25.940001,20.269308,23976400
2010-10-29,25.820000,26.129999,25.670000,26.059999,20.363075,24018000
2010-11-01,26.030001,26.100000,25.600000,25.930000,20.261497,24764600
2010-11-02,26.000000,26.049999,25.780001,25.969999,20.292749,25101700
2010-11-03,25.740000,26.500000,25.690001,26.459999,20.715515,32381400
2010-11-04,26.809999,27.500000,26.629999,27.459999,21.498415,57381100
2010-11-05,27.559999,29.360001,27.549999,29.219999,22.876316,79752600
2010-11-08,28.910000,29.280001,28.510000,29.040001,22.735399,35734000
2010-11-09,29.040001,29.110001,28.040001,28.129999,22.022953,37178800
2010-11-10,28.080000,28.620001,27.879999,28.580000,22.375252,37250900
2010-11-11,28.360001,28.570000,27.980000,28.190001,22.069931,23280400
2010-11-12,28.010000,28.040001,27.400000,27.540001,21.561050,27040000
2010-11-15,27.620001,28.209999,27.570000,27.650000,21.647169,23160300
2010-11-16,27.500000,27.629999,26.850000,27.190001,21.287029,45295900
2010-11-17,27.180000,27.430000,26.760000,26.860001,21.028675,31956700
2010-11-18,27.240000,27.709999,27.110001,27.510000,21.537558,30765200
2010-11-19,27.430000,27.549999,27.090000,27.490000,21.521898,24750900
2010-11-22,27.260000,27.360001,26.780001,26.950001,21.099136,24825700
2010-11-23,26.639999,26.950001,26.530001,26.799999,20.981701,30165900
2010-11-24,26.920000,27.139999,26.750000,27.110001,21.224396,22038200
2010-11-26,26.920000,27.150000,26.650000,26.650000,20.864262,9239700
2010-11-29,26.580000,27.350000,26.510000,27.200001,21.294853,31181000
2010-11-30,26.879999,27.430000,26.850000,27.209999,21.302689,33064700
2010-12-01,27.580000,27.799999,27.200001,27.530001,21.553223,35338900
2010-12-02,27.629999,28.780001,27.590000,28.780001,22.531849,43197400
2010-12-03,28.350000,29.129999,28.299999,29.049999,22.743227,36853100
2010-12-06,28.860001,29.100000,28.730000,28.740000,22.500523,27255700
2010-12-07,29.090000,29.250000,28.420000,28.469999,22.289137,30166400
